iter	RMSE
0	8469.952189
1	7338.246204
2	6378.374827
3	5557.386154
4	4866.606137
5	4331.036017
6	3846.16878
7	3493.269051
8	3145.074779
9	2942.583267
10	2760.843974
11	2630.56629
12	2506.376491
13	2389.868612
14	2319.955999
15	2237.574844
16	2136.923121
17	2064.621244
18	2003.387264
19	1949.073249
20	1904.230443
21	1896.932672
22	1873.667292
23	1836.915348
24	1776.539312
25	1764.507981
26	1718.713444
27	1687.069626
28	1655.622433
29	1630.025227
30	1604.527203
31	1600.8283
32	1580.685103
33	1578.351138
34	1547.507576
35	1517.749689
36	1503.707107
37	1486.981491
38	1484.462241
39	1478.204793
40	1454.282423
41	1439.920038
42	1431.479775
43	1416.740556
44	1403.348138
45	1387.811493
46	1377.16557
47	1373.584379
48	1363.201412
49	1352.634064
50	1351.952303
51	1346.107118
52	1335.021182
53	1327.552915
54	1320.373513
55	1315.266986
56	1310.972296
57	1304.403031
58	1300.689738
59	1294.296395
60	1289.116962
61	1284.839268
62	1280.551583
63	1278.301753
64	1275.858724
65	1272.550567
66	1268.016329
67	1264.656964
68	1262.87448
69	1259.875005
70	1257.600715
71	1255.760808
72	1253.806467
73	1251.389233
74	1251.169148
75	1249.68854
76	1248.875721
77	1247.181029
78	1245.877094
79	1243.68816
80	1242.051942
81	1240.926114
82	1239.990694
83	1239.192764
84	1238.142401
85	1237.393071
86	1236.551982
87	1236.023298
88	1234.824725
89	1234.105728
90	1233.011601
91	1231.896767
92	1231.373697
93	1229.981501
94	1229.446257
95	1228.719373
96	1227.854857
97	1226.791837
98	1225.839437
99	1225.170159
100	1224.855667
101	1224.500937
102	1223.664748
103	1223.289872
104	1222.511693
105	1222.187003
106	1221.432248
107	1221.004947
108	1220.366821
109	1220.02272
110	1219.451134
111	1219.151095
112	1218.41606
113	1218.062456
114	1217.689948
115	1217.374722
116	1216.981785
117	1216.668641
118	1216.163794
119	1215.569726
120	1215.271051
121	1215.063894
122	1214.679405
123	1214.4961
124	1214.361532
125	1214.15715
126	1213.725215
127	1213.609408
128	1213.270964
129	1213.067725
130	1212.835479
131	1212.548307
132	1212.194674
133	1211.895333
134	1211.717636
135	1211.560266
136	1211.205616
137	1211.041559
138	1210.92212
139	1210.695371
140	1210.516641
141	1210.356793
142	1210.205293
143	1209.987657
144	1209.76383
145	1209.586173
146	1209.465899
147	1209.278276
148	1209.216887
149	1208.873007
150	1208.708193
151	1208.639129
152	1208.501518
153	1208.395958
154	1208.20605
155	1208.107437
156	1207.930868
157	1207.801847
158	1207.707727
159	1207.584302
160	1207.510795
161	1207.427046
162	1207.359167
163	1207.23698
164	1207.182436
165	1207.101987
166	1207.052566
167	1207.009326
168	1206.911492
169	1206.822252
170	1206.72134
171	1206.652046
172	1206.592057
173	1206.511006
174	1206.388936
175	1206.288895
176	1206.2364
177	1206.216427
178	1206.145437
179	1206.094181
180	1206.030871
181	1205.959469
182	1205.899004
183	1205.848717
184	1205.747752
185	1205.699922
186	1205.622477
187	1205.562968
188	1205.540544
189	1205.528717
190	1205.471666
191	1205.464663
192	1205.420099
193	1205.413965
194	1205.389674
195	1205.349384
196	1205.32843
197	1205.280237
198	1205.26505
199	1205.212388
